"photographer","palette_full_name","lter_site","palette_name","palette_type","palette_length","color_1","color_2","color_3","color_4","color_5","color_6","color_7","color_8"
"LTER","LTER-lter logo","LTER","lter logo","qualitative",8,"#5A5C37","#209ACA","#97AE3F","#FFDF1D","#4AB2CB","#DA6641","#B89E92","#374228"
"Chris Cousins","AND-salamander","AND","salamander","qualitative",5,"#716B6F","#9CB2CD","#B67467","#B8C76F","#897956",,,
"Ashley Lang","HBR-mushrooms","HBR","mushrooms","qualitative",5,"#ADA2A7","#DBBF9F","#FE8977","#98C752","#C9D8C9",,,
"Ashley Lang","HBR-canopy","HBR","canopy","sequential",5,"#576D4B","#5E744B","#6E9B4A","#BDD060","#EFDFC0",,,
"Ashley Lang","HBR-lotus","HBR","lotus","qualitative",5,"#78A97F","#FFCD5F","#FBF3EC","#F6DCDF","#E1E0F0",,,
"Michaela Rose","KBS-birds","KBS","birds","qualitative",5,"#8F8788","#E4CAAB","#CFDCEA","#B3C4DD","#7990B5",,,
"Corinn Rutkoski","KBS-swallowtail butterfly","KBS","swallowtail butterfly","qualitative",5,"#716F6D","#BFD8F0","#FA9F4B","#FEDB91","#88B855",,,
"Yahn-Jauh Su","KBS-fire","KBS","fire","qualitative",5,"#7D7973","#EAD3B3","#FEA078","#7AA2DA","#9DB1C1",,,
"Emily Ogburn","NWT-mountain flowers","NWT","mountain flowers","qualitative",5,"#E7DFDC","#AECAEC","#EED05A","#8D98A7","#74797C",,,
"Chiara Forester","NWT-mountain field","NWT","mountain field","qualitative",5,"#E6E8EC","#DFC799","#9B9961","#6F7668","#97A3AE",,,
"Chiara Forester","NWT-wildflowers","NWT","wildflowers","qualitative",5,"#D8D6D2","#96BCF5","#7EA66C","#F9F456","#BF777C",,,
"Chiara Forester","NWT-snowy trees","NWT","snowy trees","qualitative",5,"#A5BDD9","#85C0ED","#E4EBF6","#647C90","#6A6972",,,
"Chiara Forester","NWT-snowy mountain","NWT","snowy mountain","qualitative",5,"#B4BBA5","#BDB59E","#E0E6EC","#B4C2C8","#8B8D8F",,,
"Chiara Forester","NWT-mountain dawn","NWT","mountain dawn","qualitative",5,"#99A5B2","#FFCFAB","#D89477","#976E69","#655D64",,,
